id,distance,adj.depth,depth,m,temp,adj.temp,stress,adj.stress,sector
53,273.4723867,-70.63176499,-68.1,6,513.95,540.49,96,96.75,eastern
54,114.6210272,-32.8,-32.8,5.2,193.69,193.69,0,0,western
55,100.9367103,-41.7,-41.7,5.5,324.11,324.11,-35.38,-35.38,western
56,228.403018,-66.88151399,-64.6,6.2,422.39,440.43,20.45,50.12,eastern
57,274.5363308,-62.55021198,-58.9,5.2,585.59,512.7,-0.07,6.85,eastern
58,46.59757762,-2.1,-2.1,5,18.33,18.33,0,0,western
59,100.9028725,-42.2,-42.2,4.6,364,364,-97.03,-97.03,western
60,110.0315172,-35.1,-35.1,4.8,211.04,211.04,-0.24,-0.24,western
61,72.2156199,-19,-19,6.9,135.81,135.81,-0.63,-0.63,western
62,71.13187806,-26,-26,5.5,245.62,245.62,-1.3,-1.3,western
63,63.88983319,-22.5,-22.5,5.1,216.76,216.76,0.32,0.32,western
64,66.45079042,-21.8,-21.8,5.3,168.25,168.25,-0.04,-0.04,western
65,42.50510811,-7.5,-7.5,4.8,57.41,57.41,0,0,eastern
66,52.99002926,-21,-21,5.8,230.77,230.77,-3.1,-3.1,eastern
67,54.53717868,-33.2,-33.2,5.4,532.72,532.72,-93.82,-93.82,eastern
68,92.83558314,-24.5,-24.5,5.1,159.32,159.32,-0.37,-0.37,eastern
69,55.20316172,-22,-22,4.6,263.87,263.87,0.23,0.23,eastern
70,45.09555023,-29.5,-29.5,4.7,509.03,509.03,-82.96,-82.96,eastern
71,109.8564256,-45.3,-45.3,4.9,349.58,349.58,-58.24,-58.24,western
72,43.62763328,-16.6,-16.6,5.2,198.57,198.57,0.11,0.11,eastern
73,84.61780481,-27.1,-27.1,5.4,187,187,0.1,0.1,eastern
74,193.733746,-65.86730511,-64.6,4.7,406.92,406.92,56.86,56.86,eastern
75,81.34442816,-37.9,-37.9,5.4,393.16,393.16,-100,-100,western
76,67.79369066,-34.7,-34.7,5.2,473.48,473.48,-100,-100,western
77,64.92775088,-22.5,-22.5,4.5,206.65,206.65,0.11,0.11,western
78,109.3942207,-20,-20,5.9,126.8,126.8,0,0,western
79,108.4985806,-23.7,-23.7,6.1,138.75,138.75,0,0,eastern
80,176.7576112,-60.77525386,-56.7,5.2,326.22,365.68,0.05,29.67,western
81,94.94455793,-21,-21,6.7,132.68,132.68,0,0,western
82,50.6746034,-20,-20,5.7,242.57,242.57,-9.94,-9.94,western
83,272.4850867,-71.86015661,-69.3,5.8,513.95,540.49,96,96.75,eastern
84,35.2903895,-5,-5,4.7,39.78,39.78,-0.17,-0.17,western
85,280.2667831,-59.59807867,-55.5,5.3,681.57,601.21,-0.02,-0.14,western
86,-52.67679461,-15,-15,6.5,530.66,530.66,60.15,60.15,eastern
87,56.40595586,-15,-15,5.5,121.65,121.65,-0.39,-0.39,eastern
88,94.92015725,-26.8,-26.8,4.9,170.18,170.18,-0.02,-0.02,western
89,111.8540951,-23,-23,7.4,138.11,138.11,0,0,western
90,93.26658347,-30.3,-30.3,5.1,209.1,209.1,0.04,0.04,eastern
91,49.73842813,-10.3,-10.3,4.7,91.45,91.45,-0.11,-0.11,western
92,30.63549313,-21.5,-21.5,4.8,385.65,385.65,-76.94,-76.94,western
93,73.42065248,-26.9,-26.9,5.6,234.65,234.65,-0.28,-0.28,eastern
94,48.97144337,-27.8,-27.8,4.9,416.18,416.18,-99.68,-99.68,eastern
95,32.76037918,-21,-21,7.1,370.81,370.81,-79.12,-79.12,eastern
96,36.366383,-63.6,-63.6,4.5,1222.79,1222.79,0,0,eastern
97,29.34592979,-35,-35,4.2,797.28,797.28,71.37,71.37,eastern
98,30.7023513,-8.7,-8.7,5,93.11,93.11,-0.08,-0.08,eastern
99,27.11976311,-35,-35,4.7,810.28,810.28,74.04,74.04,eastern
100,19.75629389,-18.4,-18.4,4.2,408.64,408.64,-44.09,-44.09,eastern
101,51.06680333,-12,-12,5.9,110.76,110.76,-0.33,-0.33,eastern
102,51.39622509,-25,-25,5.3,344.09,344.09,-72.44,-72.44,eastern
103,52.10621319,-2.3,-2.3,4.9,17.42,17.42,0,0,eastern
104,46.99305004,-65.9,-65.9,4.7,1210.17,1210.17,0.18,0.18,eastern
105,44.45723022,-63.8,-63.8,4.7,1196.3,1196.3,0,0,eastern
106,27.17271691,-5.9,-5.9,5.5,43.92,43.92,-0.04,-0.04,eastern
107,22.35016611,-5.8,-5.8,5.1,44.18,44.18,-0.51,-0.51,eastern
108,30.07879102,-12.1,-12.1,4.6,168.34,168.34,0.27,0.27,eastern
109,79.09743409,-23.2,-23.2,5.2,162.21,162.21,-0.11,-0.11,western
110,43.82206642,-17.5,-17.5,5.9,198.57,198.57,0.11,0.11,eastern
111,36.72225435,-16.4,-16.4,5.4,231.08,231.08,0.61,0.61,eastern
112,58.38075985,-31.9,-31.9,5.3,439.42,439.42,-100,-100,eastern
113,84.36690575,-23.9,-23.9,5.6,152.82,152.82,-0.69,-0.69,eastern
114,26.6582049,-19,-19,4.4,354.37,354.37,-71.85,-71.85,western
115,85.03692754,-28.1,-28.1,4.7,212.01,212.01,-0.1,-0.1,western
116,39.62523792,-22.5,-22.5,4.6,383.91,383.91,-93.17,-93.17,western
117,84.96954045,-39.7,-39.7,5.5,406.5,406.5,-97.21,-97.21,eastern
118,68.28265847,-35,-35,4.2,454.26,454.26,-99.76,-99.76,western
119,79.21445371,-63.6,-63.6,4.7,1020.66,1020.66,50.28,50.28,western
120,249.8860988,-60.3674273,-56.1,5.2,521.46,469.33,0.13,-0.2,western
121,61.71994918,-15,-15,4.6,117.01,117.01,-0.12,-0.12,eastern
122,64.10771714,-31.4,-31.4,6.7,385.15,385.15,-100,-100,eastern
123,28.67803023,-35,-35,4.4,797.28,797.28,71.37,71.37,eastern
124,28.84839471,-35,-35,4.1,797.28,797.28,71.37,71.37,eastern
125,43.70796615,-35,-35,4.7,693.73,693.73,53.7,53.7,eastern
126,63.51936348,-27.3,-27.3,4.5,300.76,300.76,-4.34,-4.34,western
127,70.52272983,-35,-35,4.6,435.18,435.18,-99.17,-99.17,western
128,35.47522374,-20.7,-20.7,4.5,355.88,355.88,-89.97,-89.97,western
129,35.05634206,-10,-10,6,112.86,112.86,0.01,0.01,western
130,28.50167453,-15.8,-15.8,6,227.11,227.11,-10.37,-10.37,western
131,48.8106426,-15.2,-15.2,5.3,139.88,139.88,-0.33,-0.33,eastern
132,30.72421424,-12.2,-12.2,4.7,168.34,168.34,0.27,0.27,western
133,73.8142373,-44.8,-44.8,4.3,679.96,679.96,40.42,40.42,western
134,14.10853527,-0.4,-0.4,4.3,0,0,0,0,western
135,39.42686652,-12.4,-12.4,5.4,136.98,136.98,-0.36,-0.36,eastern
136,109.4000434,-33.3,-33.3,4.3,196.42,196.42,-0.83,-0.83,eastern
137,312.5131121,-66.14708559,-63,7,691.25,593.38,0.08,29.44,eastern
138,47.44149996,-12.8,-12.8,4.7,116.31,116.31,-0.18,-0.18,eastern
139,214.9948071,-60.06300355,-56,4.3,403.54,387.96,0.1,-0.2,western
