"","tp","ta","lat","long"
"646",0,133,5.38,-82.6
"647",79,180,3.28,-83.33
"648",0,135,4.94,-82.73
"649",57,71,-5.8,-80.98
"650",61,70,-9.68,-79.75
"651",52,53,-3.94,-80.89
"652",64,283,-6.01,-77.15
"653",74,226,-5.95,-77.09
"654",34,230,-14.2,-75.61
"655",1,253,-9.83,-74.78
"656",47,250,-11.31,-77.75
"657",5,34,-13.85,-74.57
"658",44,109,-21.92,-67.25
"659",12,53,-16.48,-70.72
"660",17,80,-2.34,-79
"661",0,182,5.24,-72.89
"662",55,94,-15.79,-75.08
"663",0,5,-13.29,-72.42
"664",22,56,-20.79,-68.96
"665",9,342,-15.68,-71.58
"666",48,190,-16.14,-73.83
"667",2,317,-14.16,-73.96
"668",11,315,1.61,-84.61
"669",55,59,-0.86,-80.96
"670",23,32,-16.31,-73.39
"671",21,96,-21.69,-68.54
"672",7,93,-7.35,-74.86
"673",58,97,4.56,-77.49
"674",37,78,-8.77,-74.42
"675",35,86,-15.89,-69.42
"676",60,76,4.74,-77.48
"677",24,59,-17.51,-70.54
"678",16,129,5.66,-73.84
"679",20,46,-2.17,-77.04
"680",0,285,-21.49,-68
"681",16,48,-10.41,-74.64
"682",25,79,-20.11,-68.53
"683",9,279,-12.54,-75.94
"684",28,122,-17.32,-72.35
"685",40,59,-18.34,-69.43
"686",22,256,-9.5,-78.79
"687",64,108,-13.66,-76.09
"688",7,92,-17.55,-70.82
"689",16,102,-19.17,-66.77
"690",3,58,-20.91,-68.83
"691",3,284,-3.92,-76.63
"692",63,216,-10.4,-78.55
"693",57,45,-20.54,-71
"694",24,124,5.08,-75.73
"695",40,224,-4.7,-78.03
"696",31,70,-20.26,-68.78
"697",60,63,-2.9,-79.92
"698",16,317,4.01,-82.61
"699",6,314,4.07,-82.59
"700",0,198,3.38,-83.05
"701",0,164,3.42,-83.03
"702",83,355,3.19,-82.96
"703",33,68,-20.1,-68.86
"704",38,170,-1,-78.11
"705",8,133,5.5,-82.58
"706",2,316,5.36,-82.58
"707",5,271,-11.61,-76.55
"708",39,332,-15.48,-69.27
"709",20,77,-19.57,-69.03
"710",4,243,-8.47,-71.49
"711",23,153,-11.36,-73.97
"712",3,77,-4.66,-76.32
"713",36,264,-14.09,-75.77
"714",65,232,-14.19,-76.07
"715",81,53,4.19,-76.67
"716",11,315,5.44,-82.45
"717",31,183,-13.31,-69.39
"718",11,253,-6.04,-77.09
"719",20,68,-1.57,-78.03
"720",64,125,-18.45,-71.08
"721",33,27,-15.03,-70.53
"722",73,60,-19.72,-69.85
"723",61,102,-15.55,-74.77
"724",7,303,3.6,-78.77
"725",17,163,2.9,-76.09
"726",36,186,-13.83,-67.56
"727",26,4,-15.18,-70.34
"728",1,72,-20.52,-68.65
"729",38,224,-13.82,-68.4
"730",4,264,-13.97,-72.64
"731",6,321,5.71,-79.22
"732",7,56,-9.28,-75.8
"733",8,260,-9.33,-71.31
"734",6,263,-9.3,-71.32
"735",32,76,-15.57,-72.56
"736",10,284,2.89,-79.49
"737",25,2,2.84,-84.29
"738",59,112,-15.33,-75.36
"739",25,93,-17.5,-69.65
"740",65,83,-8.47,-80.15
"741",10,13,-15.63,-71.71
"742",7,338,-8.44,-74.29
"743",25,115,-7.96,-73.95
"744",78,111,5.07,-72.92
"745",60,325,5.21,-72.89
"746",59,240,5.13,-72.97
"747",24,120,4.16,-76.64
"748",32,75,-19.77,-68.54
"749",85,249,-5.8,-76.14
"750",67,202,-5.78,-76.13
"751",56,206,-15.77,-73.22
"752",58,111,-15.99,-74.89
"753",10,289,-2.05,-79.5
"754",61,36,2.76,-78.35
"755",23,303,5.45,-79.88
"756",30,124,-15.24,-70.42
"757",57,42,5.26,-72.47
"758",6,322,1.5,-84.88
"759",16,145,1.26,-85.05
"760",2,320,1.2,-84.93
"761",9,244,-3.85,-76.96
"762",41,125,5.54,-73.82
"763",8,87,-21.66,-68.03
"764",73,102,-8.31,-75.91
"765",13,68,-9.77,-74.62
"766",3,250,-10.4,-78.32
"767",0,164,2.52,-84.39
"768",16,120,5.1,-75.69
"769",2,270,-13.61,-74.87
"770",34,56,-20.18,-69.28
"771",24,91,-21.23,-68.74
"772",25,91,-10.53,-78.7
"773",69,241,-2.77,-77.88
"774",44,217,-2.82,-77.9
"775",6,215,-2.86,-77.86
"776",30,32,-2.9,-77.95
"777",60,310,-2.78,-77.84
"778",0,194,-2.59,-77.82
"779",80,243,1.06,-79.3
"780",29,54,-2.68,-77.81
"781",15,66,-2.9,-78.86
"782",15,100,-19.14,-68.36
"783",76,120,-2.37,-77.68
"784",0,118,2.92,-79.41
"785",12,75,-6.04,-81.82
"786",24,335,-15.55,-68.96
"787",67,222,-10.42,-78.77
"788",23,39,-1.97,-77.65
"789",59,68,-9.62,-79.57
"790",21,137,4.15,-84.17
"791",80,50,-12.97,-69.43
"792",66,87,-1.04,-78.74
"793",69,66,-10.2,-75.12
"794",18,42,-12.8,-74.04
"795",2,99,-8.13,-74.36
"796",3,53,-9.71,-80.19
"797",59,106,2.37,-79.34
"798",39,10,-15.32,-70.01
"799",13,64,-14.01,-74.47
"800",53,88,5.9,-77.58
"801",47,339,-9.68,-79.58
"802",11,138,4.95,-82.48
"803",23,98,-17.81,-70.62
"804",61,86,-2,-81
"805",31,114,-17.35,-71.14
"806",20,315,5.37,-82.64
"807",61,151,-1.08,-78.67
"808",11,74,-15.57,-73.05
"809",50,280,4.26,-76.58
"810",21,118,-19,-67.53
"811",34,241,-12.68,-76.81
"812",27,73,-17.38,-69.99
"813",65,117,-14.99,-75.68
"814",61,85,-14.84,-75.69
"815",61,108,-15.47,-75.41
"816",73,112,-15.45,-75.51
"817",57,105,-14.8,-75.75
"818",67,108,-15.32,-75.47
"819",60,102,-14.78,-75.48
"820",16,332,-15.53,-75.45
"821",53,120,-15.45,-75.36
"822",58,70,-0.24,-80.73
"823",0,178,2.83,-84.35
"824",45,77,-22,-65.72
"825",61,92,-14.49,-76.28
"826",80,150,4.56,-76.49
"827",18,74,-6.49,-71.22
"828",0,133,5.72,-82.41
"829",15,246,-9.06,-71.29
"830",32,305,4.01,-82.45
"831",25,90,-18.3,-69.53
